,train_summaries,test_summaries,trial_id,parent_study_id
0,640.9265747070312,691.709716796875,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
1,609.7825927734375,659.2374877929688,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
2,580.4828491210938,628.6296997070312,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
3,552.8692626953125,599.79150390625,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
4,526.9400634765625,572.6461791992188,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
5,502.51806640625,547.0648193359375,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
6,479.6109619140625,523.0025024414062,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
7,458.10540771484375,500.37261962890625,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
8,437.9084777832031,479.1108703613281,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
9,418.990234375,459.1394348144531,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
10,401.2812194824219,440.400634765625,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
11,384.6651306152344,422.78753662109375,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
12,369.1654357910156,406.29302978515625,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
13,354.674560546875,390.8283386230469,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
14,341.16937255859375,376.35736083984375,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
15,328.59613037109375,362.84246826171875,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
16,316.86962890625,350.18707275390625,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
17,305.956298828125,338.3708801269531,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
18,295.87249755859375,327.36273193359375,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
19,286.4590759277344,317.0590515136719,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
20,277.7724304199219,307.4945373535156,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
21,269.7287292480469,298.5685119628906,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
22,262.3199768066406,290.282958984375,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
23,255.48072814941406,282.5807189941406,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
24,249.17088317871094,275.4200134277344,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
25,243.34490966796875,268.7665710449219,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
26,238.03102111816406,262.6160888671875,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
27,233.11375427246094,256.8974609375,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
28,228.65443420410156,251.642822265625,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
29,224.56344604492188,246.77235412597656,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
30,220.74099731445312,242.2008514404297,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
31,217.3223114013672,238.0418243408203,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
32,214.1873016357422,234.1726531982422,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
33,211.27774047851562,230.57484436035156,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
34,208.66639709472656,227.2825927734375,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
35,206.25062561035156,224.22964477539062,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
36,204.08038330078125,221.4244842529297,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
37,202.1075439453125,218.85525512695312,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
38,200.29391479492188,216.4528045654297,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
39,198.59669494628906,214.192626953125,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
40,197.0778350830078,212.14247131347656,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
41,195.72267150878906,210.25794982910156,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
42,194.44345092773438,208.5045928955078,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
43,193.3041229248047,206.89195251464844,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
44,192.1835174560547,205.33187866210938,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
45,191.2467803955078,203.97242736816406,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
46,190.3644561767578,202.69195556640625,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
47,189.56539916992188,201.5055694580078,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
48,188.8310546875,200.40696716308594,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
49,188.18359375,199.40499877929688,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
50,187.58529663085938,198.46632385253906,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
51,187.04331970214844,197.6116485595703,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
52,186.51768493652344,196.8040008544922,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
53,185.99879455566406,196.0010223388672,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
54,185.56813049316406,195.31842041015625,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
55,185.1650390625,194.6615753173828,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
56,184.79885864257812,194.06639099121094,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
57,184.47789001464844,193.51336669921875,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
58,184.17750549316406,193.0000457763672,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
59,183.8907470703125,192.50791931152344,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
60,183.60760498046875,192.04092407226562,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
61,183.35169982910156,191.60894775390625,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
62,183.11070251464844,191.2122344970703,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
63,182.90805053710938,190.84439086914062,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
64,182.71337890625,190.49569702148438,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
65,182.52391052246094,190.1665802001953,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
66,182.3463134765625,189.85670471191406,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
67,182.18576049804688,189.57627868652344,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
68,182.0308074951172,189.304443359375,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
69,181.87916564941406,189.0469207763672,model_20210922-163240-2beaff1a91-c195dd6572,model_20210922-163240-2beaff1a91
