,hyperparameters,trial_id,parent_study_id
44,"{'base_score': 0.5, 'subsample_ratio': 1.0, 'tree_method': 'auto', 'min_child_weight': 58, 'column_sample_by_tree': 1.0, 'monotone_constraints': '(0)', 'column_sample_by_level': 1.0, 'max_depth': 10, 'learn_rate': 0.06044588282828877, 'l2_regularization': 1.0, 'max_count': 173}",model_20211021-000023-c68bb9d0dc-81bd0bced9,model_20211021-000023-c68bb9d0dc
45,"{'column_sample_by_level': 1.0, 'column_sample_by_tree': 1.0, 'base_score': 0.5, 'max_depth': 10, 'monotone_constraints': '(0)', 'max_count': 282, 'learn_rate': 0.09711918904392683, 'subsample_ratio': 1.0, 'tree_method': 'auto', 'min_child_weight': 43, 'l2_regularization': 1.0}",model_20211021-000023-c68bb9d0dc-774d9fa209,model_20211021-000023-c68bb9d0dc
46,"{'base_score': 0.5, 'tree_method': 'auto', 'monotone_constraints': '(0)', 'max_count': 399, 'max_depth': 12, 'column_sample_by_tree': 1.0, 'subsample_ratio': 1.0, 'min_child_weight': 68, 'column_sample_by_level': 1.0, 'learn_rate': 0.06908191618387, 'l2_regularization': 1.0, 'maxCategories': -2}",model_20211021-000023-c68bb9d0dc-b181ef5362,model_20211021-000023-c68bb9d0dc
47,"{'column_sample_by_tree': 1.0, 'l2_regularization': 1.0, 'learn_rate': 0.09683390008223287, 'column_sample_by_level': 1.0, 'subsample_ratio': 1.0, 'monotone_constraints': '(0)', 'max_count': 399, 'tree_method': 'auto', 'base_score': 0.5, 'max_depth': 12, 'min_child_weight': 61, 'maxCategories': -2}",model_20211021-000023-c68bb9d0dc-36afdc3928,model_20211021-000023-c68bb9d0dc
48,"{'tree_method': 'auto', 'l2_regularization': 1.0, 'column_sample_by_level': 1.0, 'monotone_constraints': '(0)', 'min_child_weight': 70, 'base_score': 0.5, 'column_sample_by_tree': 1.0, 'max_count': 396, 'subsample_ratio': 1.0, 'learn_rate': 0.05133791888836894, 'max_depth': 12}",model_20211021-000023-c68bb9d0dc-89bf0e2fe5,model_20211021-000023-c68bb9d0dc
49,"{'min_child_weight': 53, 'subsample_ratio': 1.0, 'tree_method': 'auto', 'max_count': 305, 'learn_rate': 0.05619496863989843, 'l2_regularization': 1.0, 'max_depth': 12, 'column_sample_by_tree': 1.0, 'base_score': 0.5, 'monotone_constraints': '(0)', 'column_sample_by_level': 1.0}",model_20211020-235536-2e18d86fcf-6beb0dd46a,model_20211020-235536-2e18d86fcf
50,"{'column_sample_by_level': 1.0, 'min_child_weight': 41, 'max_depth': 10, 'base_score': 0.5, 'tree_method': 'auto', 'learn_rate': 0.07649980675451727, 'subsample_ratio': 1.0, 'column_sample_by_tree': 1.0, 'monotone_constraints': '(0)', 'max_count': 390, 'l2_regularization': 1.0}",model_20211020-235536-2e18d86fcf-4497c30006,model_20211020-235536-2e18d86fcf
51,"{'monotone_constraints': '(0)', 'min_child_weight': 62, 'base_score': 0.5, 'column_sample_by_tree': 1.0, 'learn_rate': 0.09957837189442476, 'max_depth': 11, 'subsample_ratio': 1.0, 'l2_regularization': 1.0, 'max_count': 233, 'tree_method': 'auto', 'column_sample_by_level': 1.0}",model_20211020-235536-2e18d86fcf-9d062fd8fd,model_20211020-235536-2e18d86fcf
52,"{'max_depth': 11, 'column_sample_by_tree': 1.0, 'tree_method': 'auto', 'learn_rate': 0.07218219915135066, 'monotone_constraints': '(0)', 'max_count': 128, 'base_score': 0.5, 'column_sample_by_level': 1.0, 'subsample_ratio': 1.0, 'min_child_weight': 30, 'l2_regularization': 1.0}",model_20211020-235536-2e18d86fcf-04caead3dd,model_20211020-235536-2e18d86fcf
53,"{'subsample_ratio': 1.0, 'column_sample_by_level': 1.0, 'monotone_constraints': '(0)', 'learn_rate': 0.06038821388900581, 'max_depth': 11, 'min_child_weight': 55, 'l2_regularization': 1.0, 'base_score': 0.5, 'column_sample_by_tree': 1.0, 'tree_method': 'auto', 'max_count': 197}",model_20211020-235536-2e18d86fcf-fdb8594fb7,model_20211020-235536-2e18d86fcf
