,hyperparameters,trial_id,parent_study_id
1174,"{'column_sample_by_tree': 1.0, 'monotone_constraints': '(0)', 'subsample_ratio': 1.0, 'learn_rate': 0.05679930920585201, 'min_child_weight': 60, 'max_count': 224, 'l2_regularization': 1.0, 'base_score': 0.5, 'max_depth': 10, 'tree_method': 'auto', 'column_sample_by_level': 1.0}",model_20210927-163742-b0841f6dbe-392ee3f335,model_20210927-163742-b0841f6dbe
1175,"{'subsample_ratio': 1.0, 'max_depth': 11, 'learn_rate': 0.08466633349253894, 'max_count': 183, 'l2_regularization': 1.0, 'monotone_constraints': '(0)', 'base_score': 0.5, 'tree_method': 'auto', 'column_sample_by_tree': 1.0, 'column_sample_by_level': 1.0, 'min_child_weight': 42}",model_20210927-163742-b0841f6dbe-cfbebb5ffe,model_20210927-163742-b0841f6dbe
1176,"{'tree_method': 'auto', 'column_sample_by_level': 1.0, 'monotone_constraints': '(0)', 'learn_rate': 0.060913157831043147, 'min_child_weight': 35, 'max_count': 290, 'base_score': 0.5, 'l2_regularization': 1.0, 'subsample_ratio': 1.0, 'max_depth': 12, 'column_sample_by_tree': 1.0}",model_20210927-163742-b0841f6dbe-df7b42beba,model_20210927-163742-b0841f6dbe
1177,"{'min_child_weight': 30, 'tree_method': 'auto', 'max_depth': 11, 'column_sample_by_tree': 1.0, 'monotone_constraints': '(0)', 'max_count': 297, 'subsample_ratio': 1.0, 'column_sample_by_level': 1.0, 'base_score': 0.5, 'learn_rate': 0.06077617201333115, 'l2_regularization': 1.0}",model_20210927-163742-b0841f6dbe-26bfc48c58,model_20210927-163742-b0841f6dbe
1178,"{'base_score': 0.5, 'max_count': 362, 'subsample_ratio': 1.0, 'learn_rate': 0.051101463654413135, 'tree_method': 'auto', 'l2_regularization': 1.0, 'monotone_constraints': '(0)', 'column_sample_by_tree': 1.0, 'max_depth': 12, 'column_sample_by_level': 1.0, 'min_child_weight': 50}",model_20210927-163742-b0841f6dbe-39380ca987,model_20210927-163742-b0841f6dbe
1179,"{'min_child_weight': 31, 'tree_method': 'auto', 'column_sample_by_level': 1.0, 'column_sample_by_tree': 1.0, 'max_count': 291, 'l2_regularization': 1.0, 'max_depth': 12, 'base_score': 0.5, 'learn_rate': 0.050491208433145744, 'monotone_constraints': '(0)', 'subsample_ratio': 1.0}",model_20210927-163742-b0841f6dbe-b0fa9d039d,model_20210927-163742-b0841f6dbe
1180,"{'min_child_weight': 70, 'column_sample_by_tree': 1.0, 'column_sample_by_level': 1.0, 'max_count': 101, 'tree_method': 'auto', 'learn_rate': 0.06900560991218202, 'max_depth': 11, 'base_score': 0.5, 'subsample_ratio': 1.0, 'monotone_constraints': '(0)', 'l2_regularization': 1.0}",model_20210927-163606-34e0cb424c-d5a169fbe4,model_20210927-163606-34e0cb424c
1181,"{'base_score': 0.5, 'learn_rate': 0.08265795563597245, 'column_sample_by_level': 1.0, 'subsample_ratio': 1.0, 'column_sample_by_tree': 1.0, 'tree_method': 'auto', 'l2_regularization': 1.0, 'max_depth': 12, 'monotone_constraints': '(0)', 'max_count': 360, 'min_child_weight': 57}",model_20210927-163606-34e0cb424c-471cec2af4,model_20210927-163606-34e0cb424c
1182,"{'tree_method': 'auto', 'max_depth': 10, 'column_sample_by_tree': 1.0, 'l2_regularization': 1.0, 'column_sample_by_level': 1.0, 'subsample_ratio': 1.0, 'base_score': 0.5, 'learn_rate': 0.09390323034248958, 'max_count': 305, 'min_child_weight': 48, 'monotone_constraints': '(0)'}",model_20210927-163606-34e0cb424c-07a00a785a,model_20210927-163606-34e0cb424c
1183,"{'max_depth': 12, 'monotone_constraints': '(0)', 'l2_regularization': 1.0, 'subsample_ratio': 1.0, 'tree_method': 'auto', 'column_sample_by_tree': 1.0, 'max_count': 227, 'base_score': 0.5, 'min_child_weight': 34, 'learn_rate': 0.06100764438328494, 'column_sample_by_level': 1.0}",model_20210927-163606-34e0cb424c-88acc21d46,model_20210927-163606-34e0cb424c
1184,"{'tree_method': 'auto', 'l2_regularization': 1.0, 'column_sample_by_level': 1.0, 'column_sample_by_tree': 1.0, 'min_child_weight': 40, 'learn_rate': 0.0531135348368267, 'max_depth': 10, 'max_count': 173, 'subsample_ratio': 1.0, 'base_score': 0.5, 'monotone_constraints': '(0)'}",model_20210927-163606-34e0cb424c-3288b06bcb,model_20210927-163606-34e0cb424c
1185,"{'max_depth': 12, 'column_sample_by_level': 1.0, 'column_sample_by_tree': 1.0, 'learn_rate': 0.09121601178653668, 'base_score': 0.5, 'monotone_constraints': '(0)', 'l2_regularization': 1.0, 'max_count': 390, 'tree_method': 'auto', 'subsample_ratio': 1.0, 'min_child_weight': 67}",model_20210927-163606-34e0cb424c-2e6fde0702,model_20210927-163606-34e0cb424c
1186,"{'l2_regularization': 1.0, 'min_child_weight': 60, 'learn_rate': 0.09692092577150659, 'column_sample_by_level': 1.0, 'max_count': 400, 'subsample_ratio': 1.0, 'max_depth': 12, 'monotone_constraints': '(0)', 'column_sample_by_tree': 1.0, 'base_score': 0.5, 'tree_method': 'auto'}",model_20210927-163606-34e0cb424c-9568de00a1,model_20210927-163606-34e0cb424c
1187,"{'max_count': 104, 'min_child_weight': 44, 'column_sample_by_tree': 1.0, 'monotone_constraints': '(0)', 'column_sample_by_level': 1.0, 'base_score': 0.5, 'learn_rate': 0.08969291200962018, 'tree_method': 'auto', 'l2_regularization': 1.0, 'max_depth': 12, 'subsample_ratio': 1.0}",model_20210927-163606-34e0cb424c-81eec3fba5,model_20210927-163606-34e0cb424c
1188,"{'max_count': 344, 'tree_method': 'auto', 'base_score': 0.5, 'l2_regularization': 1.0, 'column_sample_by_level': 1.0, 'min_child_weight': 67, 'max_depth': 12, 'monotone_constraints': '(0)', 'learn_rate': 0.09254403686741461, 'column_sample_by_tree': 1.0, 'subsample_ratio': 1.0}",model_20210927-163606-34e0cb424c-ca8ecc30cf,model_20210927-163606-34e0cb424c
1189,"{'max_count': 165, 'min_child_weight': 60, 'subsample_ratio': 1.0, 'column_sample_by_tree': 1.0, 'max_depth': 12, 'l2_regularization': 1.0, 'tree_method': 'auto', 'base_score': 0.5, 'monotone_constraints': '(0)', 'learn_rate': 0.09543845487192551, 'column_sample_by_level': 1.0}",model_20210927-163513-55f6d728a5-576d7f665a,model_20210927-163513-55f6d728a5
1190,"{'base_score': 0.5, 'monotone_constraints': '(0)', 'tree_method': 'auto', 'learn_rate': 0.050108947272837066, 'max_count': 262, 'subsample_ratio': 1.0, 'min_child_weight': 31, 'max_depth': 11, 'column_sample_by_tree': 1.0, 'l2_regularization': 1.0, 'column_sample_by_level': 1.0}",model_20210927-163513-55f6d728a5-8fff7517c0,model_20210927-163513-55f6d728a5
1191,"{'column_sample_by_tree': 1.0, 'subsample_ratio': 1.0, 'l2_regularization': 1.0, 'tree_method': 'auto', 'learn_rate': 0.08105962550600632, 'max_depth': 11, 'max_count': 118, 'base_score': 0.5, 'monotone_constraints': '(0)', 'min_child_weight': 40, 'column_sample_by_level': 1.0}",model_20210927-163513-55f6d728a5-d99e0e2f41,model_20210927-163513-55f6d728a5
1192,"{'subsample_ratio': 1.0, 'learn_rate': 0.07499365532778678, 'min_child_weight': 49, 'monotone_constraints': '(0)', 'tree_method': 'auto', 'column_sample_by_tree': 1.0, 'l2_regularization': 1.0, 'max_depth': 10, 'max_count': 342, 'column_sample_by_level': 1.0, 'base_score': 0.5}",model_20210927-163513-55f6d728a5-5b1f8416b2,model_20210927-163513-55f6d728a5
1193,"{'max_depth': 11, 'tree_method': 'auto', 'base_score': 0.5, 'min_child_weight': 67, 'monotone_constraints': '(0)', 'column_sample_by_level': 1.0, 'max_count': 301, 'column_sample_by_tree': 1.0, 'subsample_ratio': 1.0, 'learn_rate': 0.06003700719047894, 'l2_regularization': 1.0}",model_20210927-163513-55f6d728a5-03c16cebc8,model_20210927-163513-55f6d728a5
1194,"{'column_sample_by_tree': 1.0, 'column_sample_by_level': 1.0, 'monotone_constraints': '(0)', 'max_depth': 12, 'l2_regularization': 1.0, 'subsample_ratio': 1.0, 'min_child_weight': 55, 'base_score': 0.5, 'tree_method': 'auto', 'learn_rate': 0.09070864282255904, 'max_count': 349, 'loss': 'none'}",model_20210927-163513-55f6d728a5-e9e91c031f,model_20210927-163513-55f6d728a5
1195,"{'column_sample_by_level': 1.0, 'base_score': 0.5, 'l2_regularization': 1.0, 'column_sample_by_tree': 1.0, 'monotone_constraints': '(0)', 'subsample_ratio': 1.0, 'learn_rate': 0.07651766112787306, 'min_child_weight': 54, 'max_depth': 12, 'max_count': 390, 'tree_method': 'auto'}",model_20210927-163513-55f6d728a5-b97dbea752,model_20210927-163513-55f6d728a5
1196,"{'max_depth': 10, 'tree_method': 'auto', 'monotone_constraints': '(0)', 'column_sample_by_level': 1.0, 'learn_rate': 0.05772885789339816, 'base_score': 0.5, 'min_child_weight': 39, 'subsample_ratio': 1.0, 'column_sample_by_tree': 1.0, 'l2_regularization': 1.0, 'max_count': 119}",model_20210927-163134-b58286b88f-8ac2233199,model_20210927-163134-b58286b88f
1197,"{'base_score': 0.5, 'column_sample_by_level': 1.0, 'max_depth': 10, 'monotone_constraints': '(0)', 'tree_method': 'auto', 'learn_rate': 0.09195993971144512, 'min_child_weight': 70, 'l2_regularization': 1.0, 'column_sample_by_tree': 1.0, 'subsample_ratio': 1.0, 'max_count': 257}",model_20210927-163134-b58286b88f-6b19e3b938,model_20210927-163134-b58286b88f
1198,"{'monotone_constraints': '(0)', 'learn_rate': 0.05481600308950502, 'column_sample_by_level': 1.0, 'max_depth': 11, 'min_child_weight': 60, 'base_score': 0.5, 'max_count': 323, 'subsample_ratio': 1.0, 'l2_regularization': 1.0, 'tree_method': 'auto', 'column_sample_by_tree': 1.0}",model_20210927-163134-b58286b88f-36df7c7a6f,model_20210927-163134-b58286b88f
1199,"{'column_sample_by_level': 1.0, 'l2_regularization': 1.0, 'subsample_ratio': 1.0, 'min_child_weight': 52, 'column_sample_by_tree': 1.0, 'tree_method': 'auto', 'max_count': 176, 'monotone_constraints': '(0)', 'learn_rate': 0.07091762978920961, 'base_score': 0.5, 'max_depth': 12, 'maxCategories': -2}",model_20210927-163134-b58286b88f-8f0ffcf383,model_20210927-163134-b58286b88f
1200,"{'base_score': 0.5, 'column_sample_by_level': 1.0, 'subsample_ratio': 1.0, 'column_sample_by_tree': 1.0, 'learn_rate': 0.07958103941447106, 'tree_method': 'auto', 'max_count': 376, 'min_child_weight': 36, 'max_depth': 11, 'monotone_constraints': '(0)', 'l2_regularization': 1.0}",model_20210927-163134-b58286b88f-b63ec582fd,model_20210927-163134-b58286b88f
1201,"{'learn_rate': 0.0507353697489284, 'l2_regularization': 1.0, 'min_child_weight': 68, 'subsample_ratio': 1.0, 'base_score': 0.5, 'monotone_constraints': '(0)', 'column_sample_by_level': 1.0, 'max_count': 240, 'max_depth': 11, 'column_sample_by_tree': 1.0, 'tree_method': 'auto'}",model_20210927-163134-b58286b88f-52022fb0f3,model_20210927-163134-b58286b88f
1202,"{'column_sample_by_tree': 1.0, 'l2_regularization': 1.0, 'max_depth': 12, 'monotone_constraints': '(0)', 'learn_rate': 0.05492027807504365, 'base_score': 0.5, 'column_sample_by_level': 1.0, 'max_count': 359, 'tree_method': 'auto', 'subsample_ratio': 1.0, 'min_child_weight': 65}",model_20210927-163134-b58286b88f-c76e314a53,model_20210927-163134-b58286b88f
1203,"{'column_sample_by_level': 1.0, 'monotone_constraints': '(0)', 'min_child_weight': 63, 'column_sample_by_tree': 1.0, 'l2_regularization': 1.0, 'subsample_ratio': 1.0, 'max_depth': 10, 'base_score': 0.5, 'learn_rate': 0.06304111232908408, 'max_count': 338, 'tree_method': 'auto'}",model_20210926-164645-abf62beb86-1cb3943399,model_20210926-164645-abf62beb86
1204,"{'column_sample_by_level': 1.0, 'learn_rate': 0.08021103254671247, 'max_depth': 12, 'monotone_constraints': '(0)', 'l2_regularization': 1.0, 'tree_method': 'auto', 'base_score': 0.5, 'max_count': 113, 'subsample_ratio': 1.0, 'column_sample_by_tree': 1.0, 'min_child_weight': 58}",model_20210926-164645-abf62beb86-8e8916c206,model_20210926-164645-abf62beb86
1205,"{'subsample_ratio': 1.0, 'max_depth': 11, 'base_score': 0.5, 'max_count': 380, 'monotone_constraints': '(0)', 'column_sample_by_level': 1.0, 'tree_method': 'auto', 'l2_regularization': 1.0, 'min_child_weight': 51, 'column_sample_by_tree': 1.0, 'learn_rate': 0.07165084040757277}",model_20210926-164645-abf62beb86-05be4aa7bc,model_20210926-164645-abf62beb86
1206,"{'column_sample_by_level': 1.0, 'l2_regularization': 1.0, 'monotone_constraints': '(0)', 'max_depth': 10, 'column_sample_by_tree': 1.0, 'subsample_ratio': 1.0, 'max_count': 271, 'base_score': 0.5, 'min_child_weight': 41, 'learn_rate': 0.08887117476291137, 'tree_method': 'auto', 'maxCategories': -2}",model_20210926-164645-abf62beb86-1b13026428,model_20210926-164645-abf62beb86
1207,"{'l2_regularization': 1.0, 'min_child_weight': 38, 'column_sample_by_level': 1.0, 'learn_rate': 0.05619595056708168, 'base_score': 0.5, 'column_sample_by_tree': 1.0, 'max_count': 181, 'subsample_ratio': 1.0, 'monotone_constraints': '(0)', 'max_depth': 11, 'tree_method': 'auto'}",model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
1208,"{'monotone_constraints': '(0)', 'learn_rate': 0.07148254530427008, 'subsample_ratio': 1.0, 'max_depth': 12, 'max_count': 350, 'min_child_weight': 31, 'column_sample_by_level': 1.0, 'l2_regularization': 1.0, 'base_score': 0.5, 'column_sample_by_tree': 1.0, 'tree_method': 'auto'}",model_20210926-164645-abf62beb86-25c57b45b3,model_20210926-164645-abf62beb86
1209,"{'min_child_weight': 34, 'column_sample_by_tree': 1.0, 'subsample_ratio': 1.0, 'monotone_constraints': '(0)', 'l2_regularization': 1.0, 'column_sample_by_level': 1.0, 'base_score': 0.5, 'max_count': 399, 'learn_rate': 0.06459814938135633, 'tree_method': 'auto', 'max_depth': 12}",model_20210926-164645-abf62beb86-97e31149bd,model_20210926-164645-abf62beb86
1210,"{'min_child_weight': 39, 'learn_rate': 0.059259001727120265, 'tree_method': 'auto', 'base_score': 0.5, 'l2_regularization': 1.0, 'monotone_constraints': '(0)', 'max_count': 104, 'subsample_ratio': 1.0, 'column_sample_by_level': 1.0, 'column_sample_by_tree': 1.0, 'max_depth': 11}",model_20210926-164520-1bf5fa0eda-4601be1853,model_20210926-164520-1bf5fa0eda
1211,"{'max_count': 222, 'monotone_constraints': '(0)', 'base_score': 0.5, 'subsample_ratio': 1.0, 'column_sample_by_tree': 1.0, 'l2_regularization': 1.0, 'column_sample_by_level': 1.0, 'tree_method': 'auto', 'max_depth': 10, 'min_child_weight': 62, 'learn_rate': 0.09467502182311129}",model_20210926-164520-1bf5fa0eda-8abff21a5f,model_20210926-164520-1bf5fa0eda
1212,"{'column_sample_by_level': 1.0, 'l2_regularization': 1.0, 'column_sample_by_tree': 1.0, 'learn_rate': 0.0836561340132058, 'min_child_weight': 36, 'tree_method': 'auto', 'max_count': 318, 'subsample_ratio': 1.0, 'base_score': 0.5, 'monotone_constraints': '(0)', 'max_depth': 11, 'loss': 'none'}",model_20210926-164520-1bf5fa0eda-7f627227d6,model_20210926-164520-1bf5fa0eda
1213,"{'column_sample_by_level': 1.0, 'tree_method': 'auto', 'learn_rate': 0.0704943655806291, 'l2_regularization': 1.0, 'column_sample_by_tree': 1.0, 'max_count': 177, 'max_depth': 12, 'subsample_ratio': 1.0, 'base_score': 0.5, 'min_child_weight': 69, 'monotone_constraints': '(0)', 'loss': 'none'}",model_20210926-164520-1bf5fa0eda-3493028254,model_20210926-164520-1bf5fa0eda
1214,"{'column_sample_by_tree': 1.0, 'tree_method': 'auto', 'min_child_weight': 48, 'l2_regularization': 1.0, 'subsample_ratio': 1.0, 'max_count': 357, 'max_depth': 11, 'base_score': 0.5, 'monotone_constraints': '(0)', 'column_sample_by_level': 1.0, 'learn_rate': 0.056017979983760645}",model_20210926-164520-1bf5fa0eda-7e856ec3b1,model_20210926-164520-1bf5fa0eda
1215,"{'subsample_ratio': 1.0, 'l2_regularization': 1.0, 'base_score': 0.5, 'column_sample_by_tree': 1.0, 'column_sample_by_level': 1.0, 'monotone_constraints': '(0)', 'max_count': 103, 'tree_method': 'auto', 'max_depth': 12, 'min_child_weight': 35, 'learn_rate': 0.07484696483350677}",model_20210926-164520-1bf5fa0eda-e38f9845f8,model_20210926-164520-1bf5fa0eda
1216,"{'column_sample_by_level': 1.0, 'l2_regularization': 1.0, 'subsample_ratio': 1.0, 'base_score': 0.5, 'max_depth': 11, 'column_sample_by_tree': 1.0, 'max_count': 341, 'monotone_constraints': '(0)', 'learn_rate': 0.09955894622691511, 'tree_method': 'auto', 'min_child_weight': 36}",model_20210926-164520-1bf5fa0eda-cebac7cff1,model_20210926-164520-1bf5fa0eda
1217,"{'tree_method': 'auto', 'monotone_constraints': '(0)', 'column_sample_by_tree': 1.0, 'max_count': 275, 'max_depth': 11, 'learn_rate': 0.09630194720155869, 'column_sample_by_level': 1.0, 'base_score': 0.5, 'l2_regularization': 1.0, 'min_child_weight': 67, 'subsample_ratio': 1.0}",model_20210926-164029-34428c2c48-ddbb239cca,model_20210926-164029-34428c2c48
1218,"{'max_count': 178, 'column_sample_by_tree': 1.0, 'learn_rate': 0.07292254288067508, 'tree_method': 'auto', 'max_depth': 10, 'monotone_constraints': '(0)', 'l2_regularization': 1.0, 'subsample_ratio': 1.0, 'min_child_weight': 47, 'base_score': 0.5, 'column_sample_by_level': 1.0}",model_20210926-164029-34428c2c48-72afb9dfc5,model_20210926-164029-34428c2c48
1219,"{'base_score': 0.5, 'monotone_constraints': '(0)', 'max_count': 142, 'min_child_weight': 32, 'subsample_ratio': 1.0, 'max_depth': 12, 'learn_rate': 0.08122598803132829, 'column_sample_by_tree': 1.0, 'tree_method': 'auto', 'l2_regularization': 1.0, 'column_sample_by_level': 1.0}",model_20210926-164029-34428c2c48-a7788e5e2b,model_20210926-164029-34428c2c48
1220,"{'subsample_ratio': 1.0, 'min_child_weight': 61, 'base_score': 0.5, 'monotone_constraints': '(0)', 'tree_method': 'auto', 'max_depth': 10, 'column_sample_by_level': 1.0, 'l2_regularization': 1.0, 'column_sample_by_tree': 1.0, 'learn_rate': 0.05053493158213784, 'max_count': 293}",model_20210926-164029-34428c2c48-2c038856dd,model_20210926-164029-34428c2c48
1221,"{'subsample_ratio': 1.0, 'monotone_constraints': '(0)', 'base_score': 0.5, 'l2_regularization': 1.0, 'max_depth': 11, 'column_sample_by_level': 1.0, 'max_count': 393, 'min_child_weight': 38, 'column_sample_by_tree': 1.0, 'tree_method': 'auto', 'learn_rate': 0.0618805867763228}",model_20210926-164029-34428c2c48-1eb9e3b208,model_20210926-164029-34428c2c48
1222,"{'subsample_ratio': 1.0, 'l2_regularization': 1.0, 'column_sample_by_level': 1.0, 'min_child_weight': 69, 'column_sample_by_tree': 1.0, 'max_depth': 10, 'base_score': 0.5, 'max_count': 393, 'learn_rate': 0.058892820012802466, 'tree_method': 'auto', 'monotone_constraints': '(0)'}",model_20210926-164029-34428c2c48-710582f867,model_20210926-164029-34428c2c48
1223,"{'max_depth': 11, 'min_child_weight': 31, 'tree_method': 'auto', 'l2_regularization': 1.0, 'base_score': 0.5, 'column_sample_by_level': 1.0, 'max_count': 312, 'learn_rate': 0.09069819134566286, 'monotone_constraints': '(0)', 'subsample_ratio': 1.0, 'column_sample_by_tree': 1.0}",model_20210926-164029-34428c2c48-dc0a65aef9,model_20210926-164029-34428c2c48
1224,"{'max_count': 365, 'column_sample_by_tree': 1.0, 'subsample_ratio': 1.0, 'learn_rate': 0.056130121623441914, 'column_sample_by_level': 1.0, 'tree_method': 'auto', 'base_score': 0.5, 'max_depth': 10, 'monotone_constraints': '(0)', 'l2_regularization': 1.0, 'min_child_weight': 46}",model_20210926-163411-527a144ca0-aa8df2c5e5,model_20210926-163411-527a144ca0
1225,"{'monotone_constraints': '(0)', 'base_score': 0.5, 'l2_regularization': 1.0, 'max_count': 248, 'min_child_weight': 64, 'learn_rate': 0.08974661197945451, 'column_sample_by_level': 1.0, 'tree_method': 'auto', 'subsample_ratio': 1.0, 'column_sample_by_tree': 1.0, 'max_depth': 11}",model_20210926-163411-527a144ca0-291c702314,model_20210926-163411-527a144ca0
1226,"{'max_depth': 11, 'column_sample_by_level': 1.0, 'max_count': 123, 'learn_rate': 0.06687014857695629, 'monotone_constraints': '(0)', 'base_score': 0.5, 'l2_regularization': 1.0, 'column_sample_by_tree': 1.0, 'subsample_ratio': 1.0, 'min_child_weight': 47, 'tree_method': 'auto', 'loss': 'none'}",model_20210926-163411-527a144ca0-2667f51f8b,model_20210926-163411-527a144ca0
1227,"{'learn_rate': 0.08520265046031796, 'max_depth': 11, 'column_sample_by_level': 1.0, 'subsample_ratio': 1.0, 'monotone_constraints': '(0)', 'min_child_weight': 31, 'column_sample_by_tree': 1.0, 'tree_method': 'auto', 'base_score': 0.5, 'max_count': 340, 'l2_regularization': 1.0}",model_20210926-163411-527a144ca0-b6c084a9fc,model_20210926-163411-527a144ca0
1228,"{'l2_regularization': 1.0, 'subsample_ratio': 1.0, 'max_depth': 12, 'learn_rate': 0.06410732647942594, 'min_child_weight': 60, 'max_count': 176, 'tree_method': 'auto', 'column_sample_by_level': 1.0, 'column_sample_by_tree': 1.0, 'monotone_constraints': '(0)', 'base_score': 0.5}",model_20210926-163411-527a144ca0-9a7ff804d5,model_20210926-163411-527a144ca0
1229,"{'learn_rate': 0.08234122060065874, 'column_sample_by_level': 1.0, 'max_count': 255, 'tree_method': 'auto', 'max_depth': 11, 'l2_regularization': 1.0, 'base_score': 0.5, 'column_sample_by_tree': 1.0, 'min_child_weight': 37, 'monotone_constraints': '(0)', 'subsample_ratio': 1.0}",model_20210926-163411-527a144ca0-a7c9f28f5c,model_20210926-163411-527a144ca0
1230,"{'l2_regularization': 1.0, 'max_count': 364, 'tree_method': 'auto', 'base_score': 0.5, 'column_sample_by_level': 1.0, 'column_sample_by_tree': 1.0, 'learn_rate': 0.08958363651350333, 'monotone_constraints': '(0)', 'subsample_ratio': 1.0, 'max_depth': 11, 'min_child_weight': 39}",model_20210926-163411-527a144ca0-4c6d83f8fc,model_20210926-163411-527a144ca0
1231,"{'min_child_weight': 49, 'learn_rate': 0.099147384199833, 'l2_regularization': 1.0, 'base_score': 0.5, 'monotone_constraints': '(0)', 'max_count': 200, 'column_sample_by_tree': 1.0, 'subsample_ratio': 1.0, 'tree_method': 'auto', 'max_depth': 10, 'column_sample_by_level': 1.0, 'maxCategories': -2}",model_20210926-162926-2370f3770f-58aa4e40a7,model_20210926-162926-2370f3770f
1232,"{'subsample_ratio': 1.0, 'max_depth': 12, 'l2_regularization': 1.0, 'monotone_constraints': '(0)', 'column_sample_by_tree': 1.0, 'max_count': 110, 'learn_rate': 0.07386082631677227, 'min_child_weight': 67, 'column_sample_by_level': 1.0, 'tree_method': 'auto', 'base_score': 0.5}",model_20210926-162926-2370f3770f-99e0212b3a,model_20210926-162926-2370f3770f
1233,"{'l2_regularization': 1.0, 'learn_rate': 0.05856356803797255, 'base_score': 0.5, 'tree_method': 'auto', 'min_child_weight': 59, 'subsample_ratio': 1.0, 'monotone_constraints': '(0)', 'max_depth': 11, 'max_count': 339, 'column_sample_by_tree': 1.0, 'column_sample_by_level': 1.0}",model_20210926-162926-2370f3770f-d0257a49d8,model_20210926-162926-2370f3770f
1234,"{'column_sample_by_level': 1.0, 'max_count': 379, 'subsample_ratio': 1.0, 'tree_method': 'auto', 'monotone_constraints': '(0)', 'base_score': 0.5, 'learn_rate': 0.08384378315450142, 'max_depth': 12, 'l2_regularization': 1.0, 'min_child_weight': 44, 'column_sample_by_tree': 1.0}",model_20210926-162926-2370f3770f-6717318439,model_20210926-162926-2370f3770f
1235,"{'column_sample_by_level': 1.0, 'max_depth': 11, 'learn_rate': 0.05282110862880449, 'monotone_constraints': '(0)', 'min_child_weight': 34, 'l2_regularization': 1.0, 'tree_method': 'auto', 'subsample_ratio': 1.0, 'max_count': 242, 'base_score': 0.5, 'column_sample_by_tree': 1.0}",model_20210926-162926-2370f3770f-306cf46e8a,model_20210926-162926-2370f3770f
1236,"{'column_sample_by_level': 1.0, 'tree_method': 'auto', 'subsample_ratio': 1.0, 'monotone_constraints': '(0)', 'l2_regularization': 1.0, 'max_count': 399, 'column_sample_by_tree': 1.0, 'min_child_weight': 65, 'base_score': 0.5, 'learn_rate': 0.07722982080580157, 'max_depth': 12}",model_20210926-162926-2370f3770f-c3c0e3ddca,model_20210926-162926-2370f3770f
1237,"{'learn_rate': 0.06077202335224243, 'column_sample_by_tree': 1.0, 'tree_method': 'auto', 'max_count': 396, 'min_child_weight': 31, 'monotone_constraints': '(0)', 'subsample_ratio': 1.0, 'base_score': 0.5, 'column_sample_by_level': 1.0, 'l2_regularization': 1.0, 'max_depth': 12}",model_20210926-162926-2370f3770f-c2f73e3a4f,model_20210926-162926-2370f3770f
1238,"{'max_depth': 10, 'min_child_weight': 52, 'l2_regularization': 1.0, 'tree_method': 'auto', 'max_count': 244, 'column_sample_by_level': 1.0, 'column_sample_by_tree': 1.0, 'base_score': 0.5, 'monotone_constraints': '(0)', 'subsample_ratio': 1.0, 'learn_rate': 0.07391963769182913}",model_20210926-162602-058700a4f2-6ad9f7b259,model_20210926-162602-058700a4f2
1239,"{'min_child_weight': 58, 'monotone_constraints': '(0)', 'max_depth': 11, 'column_sample_by_level': 1.0, 'base_score': 0.5, 'max_count': 313, 'column_sample_by_tree': 1.0, 'l2_regularization': 1.0, 'tree_method': 'auto', 'learn_rate': 0.05100571200953166, 'subsample_ratio': 1.0}",model_20210926-162602-058700a4f2-1d72ff438b,model_20210926-162602-058700a4f2
1240,"{'base_score': 0.5, 'column_sample_by_level': 1.0, 'subsample_ratio': 1.0, 'min_child_weight': 33, 'max_count': 161, 'monotone_constraints': '(0)', 'max_depth': 12, 'learn_rate': 0.05777033773966111, 'l2_regularization': 1.0, 'tree_method': 'auto', 'column_sample_by_tree': 1.0}",model_20210926-162602-058700a4f2-f0d0233236,model_20210926-162602-058700a4f2
1241,"{'max_depth': 11, 'monotone_constraints': '(0)', 'learn_rate': 0.09417545015001995, 'l2_regularization': 1.0, 'tree_method': 'auto', 'column_sample_by_level': 1.0, 'column_sample_by_tree': 1.0, 'min_child_weight': 44, 'subsample_ratio': 1.0, 'base_score': 0.5, 'max_count': 371}",model_20210926-162602-058700a4f2-a668c913eb,model_20210926-162602-058700a4f2
1242,"{'column_sample_by_tree': 1.0, 'learn_rate': 0.08481009820771812, 'max_depth': 11, 'min_child_weight': 67, 'l2_regularization': 1.0, 'base_score': 0.5, 'column_sample_by_level': 1.0, 'max_count': 108, 'subsample_ratio': 1.0, 'tree_method': 'auto', 'monotone_constraints': '(0)', 'maxCategories': -2}",model_20210926-162602-058700a4f2-4cf3b92af8,model_20210926-162602-058700a4f2
1243,"{'learn_rate': 0.055348558544047646, 'monotone_constraints': '(0)', 'max_count': 353, 'column_sample_by_tree': 1.0, 'tree_method': 'auto', 'max_depth': 11, 'l2_regularization': 1.0, 'subsample_ratio': 1.0, 'base_score': 0.5, 'min_child_weight': 66, 'column_sample_by_level': 1.0}",model_20210926-162602-058700a4f2-b4aa3fc49c,model_20210926-162602-058700a4f2
1244,"{'max_count': 157, 'tree_method': 'auto', 'base_score': 0.5, 'min_child_weight': 56, 'max_depth': 11, 'subsample_ratio': 1.0, 'column_sample_by_tree': 1.0, 'monotone_constraints': '(0)', 'column_sample_by_level': 1.0, 'l2_regularization': 1.0, 'learn_rate': 0.05193993578921825, 'maxCategories': -2}",model_20210926-162602-058700a4f2-4dcd7bd611,model_20210926-162602-058700a4f2
