,trial_id,parent_study_id,base_score,monotone_constraints,column_sample_by_tree,column_sample_by_level,tree_method,subsample_ratio,max_count,l2_regularization,learn_rate,max_depth,min_child_weight,loss,maxCategories,train_result,test_result
50,model_20211020-235536-2e18d86fcf-4497c30006,model_20211020-235536-2e18d86fcf,0.5,(0),1.0,1.0,auto,1.0,390,1.0,0.07649980675451727,10,41,,,169.82095336914062,182.4027404785156
51,model_20211020-235536-2e18d86fcf-9d062fd8fd,model_20211020-235536-2e18d86fcf,0.5,(0),1.0,1.0,auto,1.0,233,1.0,0.09957837189442476,11,62,,,167.801513671875,182.0428466796875
52,model_20211020-235536-2e18d86fcf-04caead3dd,model_20211020-235536-2e18d86fcf,0.5,(0),1.0,1.0,auto,1.0,128,1.0,0.07218219915135066,11,30,,,172.55540466308594,183.86996459960935
53,model_20211020-235536-2e18d86fcf-fdb8594fb7,model_20211020-235536-2e18d86fcf,0.5,(0),1.0,1.0,auto,1.0,197,1.0,0.06038821388900581,11,55,,,171.23843383789062,183.1845245361328
54,model_20211020-235536-2e18d86fcf-695b6e75b0,model_20211020-235536-2e18d86fcf,0.5,(0),1.0,1.0,auto,1.0,161,1.0,0.05601621713019527,12,68,,,170.0377655029297,183.1063537597656
55,model_20211020-235536-2e18d86fcf-e2786d41d8,model_20211020-235536-2e18d86fcf,0.5,(0),1.0,1.0,auto,1.0,306,1.0,0.09574127860207975,10,53,,,169.65240478515625,182.4157257080078
56,model_20211020-235536-2e18d86fcf-0b6218ba24,model_20211020-235536-2e18d86fcf,0.5,(0),1.0,1.0,auto,1.0,284,1.0,0.05882395244900653,12,51,none,,166.2177276611328,181.869140625
57,model_20211020-235232-65640a464b-d24c90b12b,model_20211020-235232-65640a464b,0.5,(0),1.0,1.0,auto,1.0,144,1.0,0.05352566767903697,11,48,,,285.021484375,266.4749450683594
58,model_20211020-235232-65640a464b-94046b736d,model_20211020-235232-65640a464b,0.5,(0),1.0,1.0,auto,1.0,379,1.0,0.058556986290156814,12,62,,,270.9220886230469,263.7415466308594
59,model_20211020-235232-65640a464b-7d4ab500f7,model_20211020-235232-65640a464b,0.5,(0),1.0,1.0,auto,1.0,237,1.0,0.09974214507959224,11,68,none,,270.51641845703125,263.6853942871094
60,model_20211020-235232-65640a464b-5ad57a4614,model_20211020-235232-65640a464b,0.5,(0),1.0,1.0,auto,1.0,288,1.0,0.07280832943549922,10,33,,,278.31915283203125,264.4716186523437
61,model_20211020-235232-65640a464b-fa80b55e8c,model_20211020-235232-65640a464b,0.5,(0),1.0,1.0,auto,1.0,170,1.0,0.08650524254908688,11,46,,,276.5411071777344,264.8027038574219
62,model_20211020-235232-65640a464b-81e40bdfae,model_20211020-235232-65640a464b,0.5,(0),1.0,1.0,auto,1.0,381,1.0,0.0891965117350909,12,35,,,264.6197509765625,263.5437316894531
63,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b,0.5,(0),1.0,1.0,auto,1.0,400,1.0,0.07916617284104771,12,42,,,258.8607482910156,262.55517578125
64,model_20211019-134614-272c95f184-b9062d6c99,model_20211019-134614-272c95f184,0.5,(0),1.0,1.0,auto,1.0,246,1.0,0.0998439162128943,10,54,,,217.1561279296875,210.70330810546875
65,model_20211019-134614-272c95f184-3e76751640,model_20211019-134614-272c95f184,0.5,(0),1.0,1.0,auto,1.0,334,1.0,0.0608212934011405,12,67,,,210.50929260253903,208.97396850585935
66,model_20211019-134614-272c95f184-b34ae4064c,model_20211019-134614-272c95f184,0.5,(0),1.0,1.0,auto,1.0,211,1.0,0.07656050674295084,11,35,,,216.1066131591797,210.5564117431641
67,model_20211019-134614-272c95f184-a7da60dbb8,model_20211019-134614-272c95f184,0.5,(0),1.0,1.0,auto,1.0,361,1.0,0.06623643133014818,11,39,,,213.1936798095703,209.6189422607422
68,model_20211019-134614-272c95f184-543820cee7,model_20211019-134614-272c95f184,0.5,(0),1.0,1.0,auto,1.0,116,1.0,0.05141063231554119,10,56,,,228.47003173828125,216.1194305419922
69,model_20211019-134614-272c95f184-f29286cdb1,model_20211019-134614-272c95f184,0.5,(0),1.0,1.0,auto,1.0,281,1.0,0.0522708171903614,12,54,,,212.73529052734372,209.6671142578125
70,model_20211019-134614-272c95f184-b50d8dd34c,model_20211019-134614-272c95f184,0.5,(0),1.0,1.0,auto,1.0,366,1.0,0.09570906644779502,12,67,,,208.67584228515625,208.8891448974609
71,model_20211019-134126-df4ef9bf38-3d54b4ef8d,model_20211019-134126-df4ef9bf38,0.5,(0),1.0,1.0,auto,1.0,165,1.0,0.08861207351908573,11,48,,,198.6355133056641,211.00070190429688
72,model_20211019-134126-df4ef9bf38-7c7535dd07,model_20211019-134126-df4ef9bf38,0.5,(0),1.0,1.0,auto,1.0,245,1.0,0.0552417334731792,11,32,,,199.1345977783203,211.72454833984372
73,model_20211019-134126-df4ef9bf38-3c4081501c,model_20211019-134126-df4ef9bf38,0.5,(0),1.0,1.0,auto,1.0,312,1.0,0.06633987506565209,10,61,,,200.60250854492188,211.18463134765625
74,model_20211019-134126-df4ef9bf38-ac0911ab14,model_20211019-134126-df4ef9bf38,0.5,(0),1.0,1.0,auto,1.0,118,1.0,0.060339395005268436,12,70,,,202.1909637451172,211.2377014160156
75,model_20211019-134126-df4ef9bf38-6608190902,model_20211019-134126-df4ef9bf38,0.5,(0),1.0,1.0,auto,1.0,356,1.0,0.07654578168471517,11,45,,,194.9100341796875,210.249755859375
76,model_20211019-134126-df4ef9bf38-6cebbc1200,model_20211019-134126-df4ef9bf38,0.5,(0),1.0,1.0,auto,1.0,358,1.0,0.054725035171060435,11,52,,,199.31051635742188,211.23638916015625
77,model_20211019-134126-df4ef9bf38-6dbb4b73e9,model_20211019-134126-df4ef9bf38,0.5,(0),1.0,1.0,auto,1.0,126,1.0,0.09571001523982613,11,45,,,200.96209716796875,211.8179931640625
78,model_20211019-134126-df4ef9bf38-bb17516dcf,model_20211019-134126-df4ef9bf38,0.5,(0),1.0,1.0,auto,1.0,295,1.0,0.07593707854840269,12,35,,,190.01614379882807,209.69541931152344
79,model_20211019-133802-4cc0c6ed1c-b9da88737f,model_20211019-133802-4cc0c6ed1c,0.5,(0),1.0,1.0,auto,1.0,163,1.0,0.09687182695528608,11,39,,,176.4514923095703,173.4462890625
80,model_20211019-133802-4cc0c6ed1c-3429d2c70f,model_20211019-133802-4cc0c6ed1c,0.5,(0),1.0,1.0,auto,1.0,306,1.0,0.057561380562263495,10,31,,,180.315185546875,174.09432983398438
81,model_20211019-133802-4cc0c6ed1c-8114a0f0e5,model_20211019-133802-4cc0c6ed1c,0.5,(0),1.0,1.0,auto,1.0,128,1.0,0.05022057039016932,11,64,,,184.80926513671875,175.33999633789062
82,model_20211019-133802-4cc0c6ed1c-fff3223d83,model_20211019-133802-4cc0c6ed1c,0.5,(0),1.0,1.0,auto,1.0,220,1.0,0.08310953953674786,11,60,,,175.047119140625,173.12445068359375
83,model_20211019-133802-4cc0c6ed1c-26e2b1a0d1,model_20211019-133802-4cc0c6ed1c,0.5,(0),1.0,1.0,auto,1.0,352,1.0,0.07199611323920353,12,52,,-2.0,169.35546875,171.9938201904297
84,model_20211019-133802-4cc0c6ed1c-0dbc6ab2e1,model_20211019-133802-4cc0c6ed1c,0.5,(0),1.0,1.0,auto,1.0,197,1.0,0.06863848049719903,12,63,,,173.8432159423828,172.7762908935547
85,model_20211019-133802-4cc0c6ed1c-e96803ce71,model_20211019-133802-4cc0c6ed1c,0.5,(0),1.0,1.0,auto,1.0,366,1.0,0.0704176789742549,12,59,,,169.7974090576172,172.20169067382812
86,model_20211019-133446-27a4c0eb6c-756417d5ba,model_20211019-133446-27a4c0eb6c,0.5,(0),1.0,1.0,auto,1.0,211,1.0,0.06032286806440503,10,59,,,150.2722930908203,173.72003173828125
87,model_20211019-133446-27a4c0eb6c-180ce814f6,model_20211019-133446-27a4c0eb6c,0.5,(0),1.0,1.0,auto,1.0,372,1.0,0.07128575786144684,11,30,,,143.30828857421875,171.205078125
88,model_20211019-133446-27a4c0eb6c-a9fde30003,model_20211019-133446-27a4c0eb6c,0.5,(0),1.0,1.0,auto,1.0,122,1.0,0.08436632549207712,11,42,,,148.60411071777344,173.3340606689453
89,model_20211019-133446-27a4c0eb6c-3f6f673f4b,model_20211019-133446-27a4c0eb6c,0.5,(0),1.0,1.0,auto,1.0,312,1.0,0.09260327035781607,12,50,,,140.5665740966797,170.5652313232422
90,model_20211019-133446-27a4c0eb6c-b2d3c34b5d,model_20211019-133446-27a4c0eb6c,0.5,(0),1.0,1.0,auto,1.0,236,1.0,0.05536819833150044,11,64,,,147.54078674316406,172.70458984375
91,model_20211019-133446-27a4c0eb6c-dc1c7313a8,model_20211019-133446-27a4c0eb6c,0.5,(0),1.0,1.0,auto,1.0,323,1.0,0.0989545827631095,12,69,,,140.29251098632812,170.30184936523438
92,model_20211019-133446-27a4c0eb6c-79062e5452,model_20211019-133446-27a4c0eb6c,0.5,(0),1.0,1.0,auto,1.0,287,1.0,0.09905068144034988,12,66,,,142.50241088867188,171.0975341796875
93,model_20211019-061349-c624eb9602-8bccbe6f95,model_20211019-061349-c624eb9602,0.5,(0),1.0,1.0,auto,1.0,259,1.0,0.07723622589847258,10,35,,-2.0,233.35861206054688,224.8590545654297
94,model_20211019-061349-c624eb9602-248366836c,model_20211019-061349-c624eb9602,0.5,(0),1.0,1.0,auto,1.0,399,1.0,0.07545746884580812,12,49,,,222.5634765625,223.14239501953125
95,model_20211019-061349-c624eb9602-4a3ee118fa,model_20211019-061349-c624eb9602,0.5,(0),1.0,1.0,auto,1.0,168,1.0,0.08862990944899472,11,61,,,231.0186462402344,224.6528778076172
96,model_20211019-061349-c624eb9602-285de4c22e,model_20211019-061349-c624eb9602,0.5,(0),1.0,1.0,auto,1.0,322,1.0,0.050361802418105645,10,63,,,236.12315368652344,225.48765563964844
97,model_20211019-061349-c624eb9602-7b25518d40,model_20211019-061349-c624eb9602,0.5,(0),1.0,1.0,auto,1.0,144,1.0,0.062202493927081916,11,42,,,236.7338104248047,226.19451904296875
98,model_20211019-061349-c624eb9602-033881d081,model_20211019-061349-c624eb9602,0.5,(0),1.0,1.0,auto,1.0,397,1.0,0.09308299253568282,12,49,,,220.78054809570312,222.99208068847656
99,model_20211019-061349-c624eb9602-538d6cb63e,model_20211019-061349-c624eb9602,0.5,(0),1.0,1.0,auto,1.0,396,1.0,0.09923917711681185,11,61,,-2.0,225.11276245117188,223.5819396972656
100,model_20211019-061005-03ae8dfb25-9a4a1f3437,model_20211019-061005-03ae8dfb25,0.5,(0),1.0,1.0,auto,1.0,221,1.0,0.0899841588361404,11,70,,,279.95477294921875,310.7660827636719
101,model_20211019-061005-03ae8dfb25-6fbf6a82d4,model_20211019-061005-03ae8dfb25,0.5,(0),1.0,1.0,auto,1.0,392,1.0,0.07543371674321558,10,52,,,285.4272155761719,311.3082275390625
102,model_20211019-061005-03ae8dfb25-4a2ffc67e8,model_20211019-061005-03ae8dfb25,0.5,(0),1.0,1.0,auto,1.0,197,1.0,0.05250307734916219,11,59,,,290.0392150878906,313.1553649902344
103,model_20211019-061005-03ae8dfb25-f7de28fac9,model_20211019-061005-03ae8dfb25,0.5,(0),1.0,1.0,auto,1.0,107,1.0,0.08081550426491013,10,40,,,299.1056823730469,315.7176208496094
104,model_20211019-061005-03ae8dfb25-69ecbeec04,model_20211019-061005-03ae8dfb25,0.5,(0),1.0,1.0,auto,1.0,328,1.0,0.06432221025679868,12,31,,,272.5055236816406,310.1334533691406
105,model_20211019-061005-03ae8dfb25-a083d6ef8f,model_20211019-061005-03ae8dfb25,0.5,(0),1.0,1.0,auto,1.0,334,1.0,0.057088900890214615,10,51,,,288.4447021484375,311.9352111816406
106,model_20211019-061005-03ae8dfb25-9cdae7c467,model_20211019-061005-03ae8dfb25,0.5,(0),1.0,1.0,auto,1.0,144,1.0,0.06492523264325432,11,32,,,290.9804077148437,313.54443359375
