,study_id,max_trials,evalution_metric
76,model_20211008-132404-4fd6a9bb51,15,mean_absolute_error
77,model_20211008-132334-28edd0e5c7,15,mean_absolute_error
78,model_20211007-133211-dfc9abf36d,15,mean_absolute_error
79,model_20211007-133038-ef0d0c7457,15,mean_absolute_error
80,model_20211007-132948-5d18f7a69c,15,mean_absolute_error
81,model_20211007-132823-f6868f9e6e,15,mean_absolute_error
82,model_20211007-132651-4a13852b87,15,mean_absolute_error
83,model_20211007-132524-d9129f449e,15,mean_absolute_error
84,model_20211007-132519-1089ad53cf,15,mean_absolute_error
85,model_20211007-132426-2b8f6c5bba,15,mean_absolute_error
86,model_20211007-005453-ab948ab934,15,mean_absolute_error
87,model_20211007-004555-58d90de83e,15,mean_absolute_error
88,model_20211007-004543-cbd7b4da04,15,mean_absolute_error
89,model_20211007-004433-2fa998759c,15,mean_absolute_error
90,model_20211007-004229-4999696586,15,mean_absolute_error
91,model_20211007-004101-85697c3b1f,15,mean_absolute_error
92,model_20211007-004040-f0c65c6928,15,mean_absolute_error
93,model_20211007-003927-985aaf2de9,15,mean_absolute_error
94,model_20211005-170036-b4be65bbb3,15,mean_absolute_error
95,model_20211005-165415-0a9c45f985,15,mean_absolute_error
96,model_20211005-165145-c3f729adfd,15,mean_absolute_error
97,model_20211005-165109-1c0b86e23d,15,mean_absolute_error
98,model_20211005-164010-ac32c86942,15,mean_absolute_error
99,model_20211005-163831-9452955034,15,mean_absolute_error
100,model_20211005-163707-938e2d61be,15,mean_absolute_error
101,model_20211005-163552-64381f3391,15,mean_absolute_error
102,model_20211004-224703-fc77e57f5a,15,mean_absolute_error
103,model_20211004-224502-8932fb8f01,15,mean_absolute_error
104,model_20211004-221754-8459107649,15,mean_absolute_error
105,model_20211004-221029-60911f2403,15,mean_absolute_error
106,model_20211004-215254-1a1277f9cc,15,mean_absolute_error
107,model_20211004-214810-67268c7e5f,15,mean_absolute_error
108,model_20211004-214407-9f5f860531,15,mean_absolute_error
109,model_20211004-214149-31faedcba0,15,mean_absolute_error
110,model_20211004-035620-3842d12fba,15,mean_absolute_error
111,model_20211004-034124-040eba15d6,15,mean_absolute_error
112,model_20211004-033943-c1453b99aa,15,mean_absolute_error
113,model_20211004-033916-e668b0f156,15,mean_absolute_error
114,model_20211004-033817-cc4910fb92,15,mean_absolute_error
115,model_20211004-033514-65a713d983,15,mean_absolute_error
116,model_20211004-033506-04d2836fff,15,mean_absolute_error
117,model_20211004-030312-5501b5b2a0,15,mean_absolute_error
118,model_20211002-163341-88cbbee44e,15,mean_absolute_error
119,model_20211002-163327-fd19c02ad1,15,mean_absolute_error
120,model_20211002-163141-54d43b991a,15,mean_absolute_error
121,model_20211002-162926-6e5ed1e79f,15,mean_absolute_error
122,model_20211002-162751-b93eb8d68b,15,mean_absolute_error
123,model_20211002-162725-e6eca01925,15,mean_absolute_error
124,model_20211002-162715-4729c6468f,15,mean_absolute_error
125,model_20211002-162323-758c10d44a,15,mean_absolute_error
126,model_20211001-230705-9e3ba79b83,15,mean_absolute_error
127,model_20211001-225435-b8e645a27a,15,mean_absolute_error
128,model_20211001-225317-2e4fbec6b8,15,mean_absolute_error
129,model_20211001-224236-d84c05ddd5,15,mean_absolute_error
130,model_20210930-231403-3a4116e40e,15,mean_absolute_error
131,model_20210930-231221-9a518387d9,15,mean_absolute_error
132,model_20210930-230436-4746477fd1,15,mean_absolute_error
133,model_20210930-201615-b8ef0aa333,15,mean_absolute_error
134,model_20210930-195808-31d662741f,15,mean_absolute_error
135,model_20210930-195733-a1464f032a,15,mean_absolute_error
136,model_20210930-195702-4dff6cfc74,20,mean_absolute_error
